Number,Name,Other Name,Usage,Side Effects
E290,Carbon Dioxide,,"Gas present in air, but produced synthetically for food. Adds the fizz to fizzy drinks (carbonation), but is also used as a coolant, freezant, propellant, preservative and packaging gas.",
E290,Carbon dioxide,,,
E296,Malic acid,,,
E297,Fumaric Acid,,Prepared synthetically as an acid flavour.,
E300,L-Ascorbic Acid (Vitamin C),,"Occurs naturally in fruit and vegetables but is synthesised biologically. It acts as a preservative, anti-oxidant, meat colour fixative, and flour improver. Also a vitamin.",
E301,Sodium L-Ascorbate,,Salt of ascorbic acid.,
E302,Calcium L-Ascorbate,,Salt of ascorbic acid.,
E304,Ascorbyl Palmitate,,Salt of ascorbic acid.,
E306,Tocopherol (Vitamin E),,"Obtained from soya bean oil, wheatgerm, rice germ, cottonseed, maize and green leaves. Used as an antioxidant and nutrient.",
E307,Synthetic Alpha Tocopherol,,Synthetic products of Tocopherol with similar functions.,
E308,Synthetic Gamma Tocopherol,,Synthetic products of Tocopherol with similar functions.,
E309,Synthetic Delta Tocopherol,,Synthetic products of Tocopherol with similar functions.,
E310,Propyl Gallate,Propyl Gallate,Synthetically prepared antioxidant.,"Propyl Gallate can cause allergic reactions in the form of an asthma attack in some people. It can also cause stomach and skin irritation, liver damage, kidney damage and has the potential to increase your chances of having cancer"
E311,Octyl Gallate,,Synthetic product similar to Propyl Gallate with similar function.,
E312,Dodecyl Gallate,,Synthetic product similar to Propyl Gallate with similar function.,
E315,Erythorbic acid,,Antioxidants,
E316,Sodium erythorbate,,Antioxidants,
E320,Butylated Hydroxyanisole (BHA),,"Antioxidant manufactured synthetically for use alone or with E280, E310, or E330",
E321,Butylated Hydroxytoluene (BHT),,Synthetically prepared antioxidant.,
E322,Lecithins,Lecithin,"Type of fat or lipid compound found naturally in all living organisms, protective against cholesterol deposition. Egg yolk is a rich source of lecithins, but commercially, most is obtained from soya beans. Used as an antioxidant, and emulsifier.",Naturally occurring estrogens in Soy Lecithin can cause hormonal problems in Men who consume excessive amounts of it
E325,Sodium lactate,,Salt of lactic acid (E270) used as a humectant,
E326,Potassium Lactate,,Salt of lactic acid (E270) used as an acid regulator.,
E327,Calcium Lactate,,Salt of lactic acid (E270) used as an acid regulator and firming agent,
E330,Citric Acid,,"Occurs naturally in citrus fruit but may also be prepared from the fermentation of molasses. Used as an antioxidant, preservative, acid regulator and flour improver.",
E331,Sodium Citrate,,Salt of Citric Acid with similar functions.,
E332,Potassium Citrate,,Salt of Citric Acid with similar functions.,
E333,Calcium Citrate,,"Salt of Citric Acid, which acts as an acid regulator, emulsifier and firming agent.",
E334,Tartaric Acid,,Natural product of wine making used as an acid regulator.,
E335,Sodium L-Tartrate,,Salt of Tartaric Acid with similar function.,
E336,Potassium L-Tartrate (Cream of Tartar),,Salt of Tartaric Acid with similar function.,
E337,Sodium potassium tartrate,,,
E338,Phosphoric acid,,,
E339,Sodium phosphates,Sodium phosphates,"Often used as emulsifiers (as in processed cheese), thickening agents, and leavening agents for baked goods","Can cause vomitting, headache, reduced urine output, bloating, abdominal pain, dizziness, seizure"
E340,Potassium phosphates,,,
E341,Calcium Orthophosphates (Pyrophosphates),,"Synthetic products of a naturally occurring mineral. Used as an anti-caking agent, acid regulator, emulsifier, flour improver, nutrient and an aid to antioxidants.",
E341,Calcium Phosphate,Calcium Bis(Dihydrogenorthophosphate),"Acidity regulator, used in baking powder and acts as a bread enhancer. It also binds metal ions, increases the activity of antioxidants and stabilises the texture of canned vegetables","Designated as safe for general or specific, limited use in food"
E341i,Dicalcium Phosphate,Calcium Dihydrogen Phosphate,"Mainly used as a dietary supplement in prepared breakfast cereals, dog treats, enriched flour, and noodle products","Designated as safe for general or specific, limited use in food"
E343,Magnesium phosphates,,,
E350,Sodium malates,,,
E351,Potassium malate,,,
E352,Calcium malates,,,
E353,Metatartaric acid,,,
E354,Calcium tartrate,,,
E355,Adipic acid,,,
E356,Sodium adipate,,,
E357,Potassium adipate,,,
E363,Succinic acid,,,
E380,Triammonium citrate,,,
E385,Calcium disodium ethylene diamine tetra-acetate; calcium disodium EDTA,,,
E400,Alginic Acid,,"Emulsifier, stabiliser and gelling agent or thickener extracted from brown seaweed.",
E401,Sodium Alginate,,Salt of Alginic Acid with similar functions.,
E402,Potassium alginate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E403,Ammonium alginate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E404,Calcium alginate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E405,"Propane-1,2-diol alginate",,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E406,Agar,Agar,Naturally occurring gum extracted from seaweeds. It is not digested so acts a source of dietary fibre. Also acts as a stabiliser and gelling agent.,"No known adverse effects in small quantities. Very large quantities can cause flatulence and distention, Possibly intestinal obstruction"
E407,Carrageenan (Irish Moss),Carrageenan,"Gum naturally present in red seaweed. Used as an emulsifier, stabiliser, and gelling agent.","Allergies, intolerances, Ulcerative colitis, Cancer"
E407a,Processed eucheuma seaweed,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E410,Locust Bean Gum (Carob Bean Seed Gum),,Natural extract from the Carob tree seed. Similar to E407.,
E412,Guar Gum (Cluster Bean Gum),,Naturally occurring seed gum from a tree of the pea family. Used as a thickener and stabiliser.,
E413,Tragacanth,,"Natural gum obtained from a tree of the pea family. Used as a stabiliser, emulsifier and thickener. Used to prevent crystallisation of sugar.",
E414,Acacia (Gum Arabic),,Similar to E413.,
E415,Xanthan Gum,Xanthan Gum,"Made from fermentation of carbohydrates by bacteria. Used as an emulsifier, stabiliser and thickener.","Asthma, Skin irritation, Hay fever"
E416,Karaya gum,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E417,Tara gum,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E418,Gellan gum,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E420,Sorbitol,Crapinol,Sugar alcohol produced from glucose. Is less quickly absorbed than sugar so often used as a sweetener. Also used as a humectant and food colour diluent. May have a laxative effect in large doses.,"Can cause intestinal discomfort, gas, bloating, flatulence, and diarrhea"
E421,Mannitol,Crapinol,"Sugar alcohol derived from mannose, but general manufactured from seaweed. Acts as a sweetener, emulsifier, anti-caking agent and thickener.","Because sugar alcohols are not fully digested, they can cause intestinal discomfort, gas, bloating, flatulence, and diarrhea. But in small quantities, you should be safe from any ill effects"
E422,Glycerine,,"Colourless sweet liquid obtained from fatty acids, flavour and bulking agent.",
E422,Glycerol,,Naturally occurring in many plant cells but generally prepared commercially from fats and oils. Used as a humectant.,
E425,Konjac,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E431,Polyoxyethylene (40) stearate,,,
E432,Polyoxyethylene sorbitan monolaurate; Polysorbate 20,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E433,Polyoxyethylene sorbitan mono-oleate; Polysorbate 80,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E434,Polyoxyethylene sorbitan monopalmitate; Polysorbate 40,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E435,Polyoxyethylene sorbitan monostearate; Polysorbate 60,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E436,Polyoxyethylene sorbitan tristearate; Polysorbate 65,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E440 (a),Pectin,,"Occurs naturally in fruits, roots and stems of plants.",
E440 (b),Amidated Pectin,,Chemically treated Pectin used as an emulsifier and jelling agent.,
E442,Ammonium phosphatides,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E444,Sucrose acetate isobutyrate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E445,Glycerol esters of wood rosins,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E450 (a-c),Sodium and Potassium Phosphate salts,,"Synthetically prepared emulsifiers, stabilisers and humectants.",
E451,Triphosphates,Soda Ash or Disodium Carbonate,"Emulsifiers, Humectant, Sequestrant, Stabiliser, Thickener","Breathing problems, Diarrhea and vomiting, Eye irritation, Low blood pressure"
E451i,Sodium Phosphate (STP),"Pentasodium Triphosphate, Sodium Tripolyphosphate (STTP) or Tripolyphosphate (TPP)","Natural food colorant, a water soluble yellow food color",Not allowed in European Countries
E452,Polyphosphates,,,
E459,Beta-cyclodextrin,,,
E460,Cellulose,,Fibrous part of plant cell walls used as a bulking agent.,
E461,Methylcellulose,,Derived from Cellulose with similar properties.,
E463,Hydroxypropyl cellulose,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E464,Hydroxypropyl methyl cellulose,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E465,Ethylmethylcellulose,,Derived from Cellulose with similar properties.,
E466,Carboxymethylcellulose,,Derived from Cellulose with similar properties.,
E467,Sodium carboxy methyl cellulose,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E468,Crosslinked sodium carboxy methyl cellulose,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E469,Enzymatically hydrolysed carboxy methyl cellulose,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E470,"Sodium, Potassium and Calcium Salts of Fatty Acids",,"Synthetically manufactured emulsifiers, stabilisers and anti-caking agents.",
E471,Mono and Diglycerides of Fatty Acid,Mono- and Diglycerides,Normal products of fat digestion but are prepared synthetically.,No harmful effects have been specifically associated with mono- or diglycerides.
E471 (a-e),Acid reactions with E471:,,"Functions include emulsifier, stabiliser, thickener, humectant and releasing agent.",
E472a,Acetic acid esters of mono- and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E472b,Lactic acid esters of mono- and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E472c,Citric acid esters of mono- and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E472d,Tartaric acid esters of mono- and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E472e,Mono- and diacetyltartaric acid esters of mono- and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E472f,Mixed acetic and tartaric acid esters of mono- and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E473,Sucrose esters of fatty acids,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E474,Sucroglycerides,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E475,Polyglycerol Ester of Fatty Acids,,Synthetic product of E471 used as an emulsifier and stabiliser.,
E476,Polyglycerol polyricinoleate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E477,"Propane-1,2-diol esters of fatty acids",,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E479b,Thermally oxidised soya bean oil interacted with mono and diglycerides of fatty acids,Mono- and Diglycerides,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",No harmful effects have been specifically associated with mono- or diglycerides.
E481,Sodium Stearoyl-2-lactylate,,"Prepared synthetically from Lactic Acid, used as a stabiliser and emulsifier.",
E482,Calcium stearoyl-2-lactylate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E483,Stearyl tartrate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E491,Sorbitan monostearate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E492,Sorbitan tristearate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E493,Sorbitan monolaurate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E494,Sorbitan monooleate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E495,Sorbitan monopalmitate,,"Emulsifiers, Stabilisers, Thickeners and Gelling Agents",
E500,Sodium Bicarbonate/ Hydrogen Carbonate (Bicarb of Soda),Baking Soda,"Prepared synthetically for use as an acid regulator, firming agent, release agent, raising agent and diluent.",No known adverse effects in small quantities
E500i,Sodium Carbonate,Soda Ash or Washing Soda,"Acidity regulator, anticaking agent, raising agent, and stabilize","Large amounts cause corrosion of the gut, gastric upsets, circulation problems"
E501i,Potassium carbonates,Potassium Carbonates,"A water-soluble salt with its main applications in the production of glass, detergents (soaps), ceramics, fertilizers, agrochemicals, pharmaceuticals, food, feed, fire extinguisher, drying agent for solvents and etc",None Known
E503,Ammonium carbonates,,,
E504,Magnesium Carbonate,,Naturally occurring mineral used as an anti-caking agent.,
E507,Hydrochloric acid,,,
E508,Potassium Chloride,,"Natural occurring chemical often associated with rock salt. Used as an emulsifier, stabiliser, salt substitute and dietary supplement.",
E509,Calcium Chloride,,"Product of natural salt brine, but more often prepared chemically. Used as a firming agent and to prevent texture deterioration.",
E511,Magnesium chloride,,,
E512,Stannous chloride,,,
E513,Sulphuric acid,,,
E514,Sodium sulphates,,,
E515,Potassium sulphates,,,
E516,Calcium sulphate,,,
E517,Ammonium sulphate,,,
E520,Aluminium sulphate,,,
E521,Aluminium sodium sulphate,,,
E522,Aluminium potassium sulphate,,,
E523,Aluminium ammonium sulphate,,,
E524,Sodium hydroxide,,,
E525,Potassium hydroxide,,,
E526,Calcium hydroxide,,,
E527,Ammonium hydroxide,,,
E528,Magnesium hydroxide,,,
E529,Calcium oxide,,,
E530,Magnesium oxide,,,
E535,Sodium ferrocyanide,,,
E536,Potassium ferrocyanide,,,
E538,Calcium ferrocyanide,,,
E541,Sodium Aluminium Phosphate,,Synthetically prepared raising agent.,
E551,Silicon Dioxide (Silica),,Derived from sand. Used as an anti-caking agent.,
E552,Calcium Silicate,,"Salt of Silicon Dioxide with similar functions. Also used as a glazing agent, acid regulator, releasing agent and as a coating agent.",
E553,Sodium Silico Aluminate/ magnesium silicate,,Salt of Silicon Dioxide with similar functions.,
E554,Sodium aluminium silicate,,,
E555,Potassium aluminium silicate,,,
E556,Aluminium calcium silicate,,,
E558,Bentonite,,,
E559,Aluminium silicate; Kaolin,,,
E570,Fatty acids,,,
E574,Gluconic acid,,,
E575,Glucono delta-lactone,,,
E576,Sodium gluconate,,,
E577,Potassium gluconate,,,
E578,Calcium gluconate,,,
E579,Ferrous gluconate,,,
E585,Ferrous lactate,,,
E620,L-Glutamic Acid,,Naturally occurring amino acid obtained from protein but generally manufactured by bacterial fermentation of carbohydrates. Used as a flavour enhancer and salt substitute.,
E621,Monosodium Glutamate (MSG),MSG,Present naturally in seaweed but generally prepared chemically from sugar beet. Flavour enhancer of protein rich foods.,"NOT SAFE FOR BABIES AND YOUNG CHILDREN. Heart palpitations, Headaches, Dizzyness, Muscle tightening, Nausea, Weakness of the upper arms, Neck pain, Migraine, Hyperactivity, Asthma, Urticaria, Insomnia. As this substance is not suitable for babies under six months we suggest it would be advisable for pregnant and lactating mothers to avoid it also unless/until it is proven safe in these circumstances. Can cause adverse reactions, allergies, aspirin sensitivity, obesity and up to 40% increase in apetite"
E622,Monopotassium Glutamate,,Similar to Monosodium Glutamate.,
E623,Calcium Glutamate,,Similar to Monosodium Glutamate.,
E624,Monoammonium glutamate,,,
E625,Magnesium diglutamate,,,
E626,Guanylic acid,,,
E627,Sodium Guanylate,,Occurs naturally in sardines and yeast extract but generally manufactured synthetically. Used as a flavour enhancer.,
E628,Dipotassium guanylate,,,
E629,Calcium guanylate,,,
E630,lnosinic acid,,,
E631,Sodium Inosinate,,Made from sardines and meat extract.,
E632,Dipotassium inosinate,,,
E633,Calcium inosinate,,,
E634,Calcium 5'-ribonucleotides,,,
E635,Sodium-5-Ribonucleotide,,Mixture of 627 and 631.,
E640,Glycine and its sodium salt,,,
E650,Zinc acetate,,,
E900,Dimethylpolysiloxane,,,
E901,"Beeswax, white and yellow",,,
E902,Candelilla wax,,,
E903,Carnauba wax,,,
E904,Shellac,,,
E905,Microcrystalline wax,,,
E912,Montan acid esters,,,
E914,Oxidised Polyethylene wax,,,
E920,L-Cysteine,,,
E927,Azodicarbonamide,,Chemically manufactured flour improver.,
E927b,Carbamide,,,
E938,Argon,,,
E939,Helium,,,
E941,Nitrogen,,,
E942,Nitrous oxide,,,
E943a,Butane,,,
E943b,Iso-butane,,,
E944,Propane,,,
E948,Oxygen,,,
E949,Hydrogen,,,
E950,Acesulfame K,,Sweeteners,
E951,Aspartame,,Sweeteners,
E951,Aspartame,,New artificial sweetener of protein origin. Contains phenylalanine.,
E952,Cyclamic acid and its Na and Ca salts,,Sweeteners,
E953,lsomalt,,Sweeteners,
E954,Saccharin,Saccharin,Calorie-free artificial sweetener.,"Can cause allergic reactions in people that can't tolerate sulfa drugs. Common allergic reactions include breathing difficulties, headaches, skin irritation, and diarrhea"
E957,Thaumatin,,Sweeteners,
E959,Neohesperidine DC,,Sweeteners,
E965,Glucose (hydrogenated) or Maltitol,,"Natural occurring sugar in grapes, corn, etc.",
E966,Lactitol,,Sweeteners,
E967,Xylitol,Crapinol,Sweeteners,Heavy ingestion might cause intestinal discomfort or gas
E999,Quillaia extract,,,
,(a) Acetic,,,
,(b) Lactic,,,
,(c) Citric,,,
,(d) Tartaric,,,
,(e) Diacetyl Tartaric,,,
